t_h,price,water_demand1_forecast,water_demand2_forecast,water_level,pump_flow,supply_pressure_bar,pump_power_kw
0.0000,1.0000,21.0904,6.8008,1.1588,73.9324,3.8749,4.6347
1.0000,1.0000,17.1021,5.6365,1.2856,73.4513,3.8936,4.6634
2.0000,1.0000,15.2317,5.0065,1.4182,73.2902,3.9105,4.7060
3.0000,1.0000,13.7693,4.2691,1.5561,73.1792,3.9273,4.7514
4.0000,1.0000,17.6196,5.5841,1.6829,73.9347,3.9378,4.8337
5.0000,1.0000,30.0420,9.4649,1.7745,76.1732,3.9366,4.9762
6.0000,1.0000,46.2246,14.0494,1.8219,79.2181,3.9273,5.1438
7.0000,2.0000,57.7150,17.2050,1.7207,34.4439,3.5325,1.6553
8.0000,2.0000,54.9677,16.9187,1.6289,35.1565,3.5300,1.6858
9.0000,2.0000,46.2010,14.5474,1.5633,34.4947,3.5332,1.6587
10.0000,2.0000,41.6671,12.9336,1.5131,34.5517,3.5348,1.6639
11.0000,2.0000,41.6144,12.7544,1.4658,35.4156,3.5341,1.7044
12.0000,2.0000,41.3025,12.7591,1.4211,36.2026,3.5337,1.7417
13.0000,2.0000,39.4756,12.0163,1.3840,36.6550,3.5349,1.7654
14.0000,2.0000,37.2313,11.4016,1.3549,36.9768,3.5370,1.7841
15.0000,2.0000,36.5582,11.6159,1.3283,37.5590,3.5384,1.8144
16.0000,2.0000,40.3229,12.4215,1.2939,38.9790,3.5365,1.8799
17.0000,2.0000,44.2665,13.8974,1.2497,40.4944,3.5338,1.9483
18.0000,2.0000,47.2549,14.6183,1.1997,41.8715,3.5313,2.0100
19.0000,2.0000,52.3010,16.4618,1.1371,43.6987,3.5264,2.0886
20.0000,2.0000,57.5994,17.6472,1.0631,45.6406,3.5204,2.1698
21.0000,2.0000,54.2577,16.8732,1.0000,45.9029,3.5219,2.1851
22.0000,1.0000,44.7325,13.5796,1.0443,76.0282,3.8162,4.5754
23.0000,1.0000,30.5191,9.3881,1.1294,73.9600,3.8438,4.5382
24.0000,1.0000,21.0904,6.8008,1.2413,72.6346,3.8673,4.5299
25.0000,1.0000,17.1021,5.6365,1.3648,72.1560,3.8856,4.5566
26.0000,1.0000,15.2317,5.0065,1.4942,71.9971,3.9022,4.5974
27.0000,1.0000,13.7693,4.2691,1.6288,71.8883,3.9186,4.6410
28.0000,1.0000,17.6196,5.5841,1.7525,72.6468,3.9289,4.7218
29.0000,1.0000,30.0420,9.4649,1.8409,74.8914,3.9276,4.8636
30.0000,1.0000,46.2246,14.0494,1.8851,77.9466,3.9183,5.0310
31.0000,2.0000,57.7150,17.2050,1.7788,32.3827,3.5309,1.5540
32.0000,2.0000,54.9677,16.9187,1.6820,33.1877,3.5278,1.5882
33.0000,2.0000,46.2010,14.5474,1.6116,32.5774,3.5302,1.5624
34.0000,2.0000,41.6671,12.9336,1.5568,32.6880,3.5312,1.5691
35.0000,2.0000,41.6144,12.7544,1.5049,33.6105,3.5300,1.6116
36.0000,2.0000,41.3025,12.7591,1.4559,34.4502,3.5292,1.6507
37.0000,2.0000,39.4756,12.0163,1.4145,34.9463,3.5299,1.6755
38.0000,2.0000,37.2313,11.4016,1.3812,35.3058,3.5314,1.6951
39.0000,2.0000,36.5582,11.6159,1.3506,35.9251,3.5323,1.7262
40.0000,2.0000,40.3229,12.4215,1.3122,37.3886,3.5301,1.7930
41.0000,2.0000,44.2665,13.8974,1.2641,38.9484,3.5271,1.8627
42.0000,2.0000,47.2549,14.6183,1.2104,40.3678,3.5242,1.9257
43.0000,2.0000,52.3010,16.4618,1.1441,42.2407,3.5190,2.0057
44.0000,2.0000,57.5994,17.6472,1.0665,44.2285,3.5128,2.0882
45.0000,2.0000,54.2577,16.8732,1.0000,44.5206,3.5138,2.1040
46.0000,1.0000,44.7325,13.5796,1.0443,76.0282,3.8162,4.5754
47.0000,1.0000,30.5191,9.3881,1.1294,73.9600,3.8438,4.5382
48.0000,1.0000,21.0904,6.8008,1.2413,72.6346,3.8673,4.5299
49.0000,1.0000,17.1021,5.6365,1.3648,72.1560,3.8856,4.5566
50.0000,1.0000,15.2317,5.0065,1.4942,71.9971,3.9022,4.5974
51.0000,1.0000,13.7693,4.2691,1.6288,71.8883,3.9186,4.6410
52.0000,1.0000,17.6196,5.5841,1.7525,72.6468,3.9289,4.7218
53.0000,1.0000,30.0420,9.4649,1.8409,74.8914,3.9276,4.8636
54.0000,1.0000,46.2246,14.0494,1.8851,77.9466,3.9183,5.0310
55.0000,2.0000,57.7150,17.2050,1.7788,32.3827,3.5309,1.5540
56.0000,2.0000,54.9677,16.9187,1.6820,33.1877,3.5278,1.5882
57.0000,2.0000,46.2010,14.5474,1.6116,32.5774,3.5302,1.5624
58.0000,2.0000,41.6671,12.9336,1.5568,32.6880,3.5312,1.5691
59.0000,2.0000,41.6144,12.7544,1.5049,33.6105,3.5300,1.6116
60.0000,2.0000,41.3025,12.7591,1.4559,34.4502,3.5292,1.6507
61.0000,2.0000,39.4756,12.0163,1.4145,34.9463,3.5299,1.6755
62.0000,2.0000,37.2313,11.4016,1.3812,35.3058,3.5314,1.6951
63.0000,2.0000,36.5582,11.6159,1.3506,35.9251,3.5323,1.7262
64.0000,2.0000,40.3229,12.4215,1.3122,37.3886,3.5301,1.7930
65.0000,2.0000,44.2665,13.8974,1.2641,38.9484,3.5271,1.8627
66.0000,2.0000,47.2549,14.6183,1.2104,40.3678,3.5242,1.9257
67.0000,2.0000,52.3010,16.4618,1.1441,42.2407,3.5190,2.0057
68.0000,2.0000,57.5994,17.6472,1.0665,44.2285,3.5128,2.0882
69.0000,2.0000,54.2577,16.8732,1.0000,44.5206,3.5138,2.1040
70.0000,1.0000,44.7325,13.5796,1.0443,76.0282,3.8162,4.5754
71.0000,1.0000,30.5191,9.3881,1.1294,73.9600,3.8438,4.5382
72.0000,1.0000,21.0904,6.8008,1.2413,72.6346,3.8673,4.5299
73.0000,1.0000,17.1021,5.6365,1.3648,72.1560,3.8856,4.5566
74.0000,1.0000,15.2317,5.0065,1.4942,71.9971,3.9022,4.5974
75.0000,1.0000,13.7693,4.2691,1.6288,71.8883,3.9186,4.6410
76.0000,1.0000,17.6196,5.5841,1.7525,72.6468,3.9289,4.7218
77.0000,1.0000,30.0420,9.4649,1.8409,74.8914,3.9276,4.8636
78.0000,1.0000,46.2246,14.0494,1.8851,77.9466,3.9183,5.0310
79.0000,2.0000,57.7150,17.2050,1.7788,32.3827,3.5309,1.5540
80.0000,2.0000,54.9677,16.9187,1.6820,33.1877,3.5278,1.5882
81.0000,2.0000,46.2010,14.5474,1.6116,32.5774,3.5302,1.5624
82.0000,2.0000,41.6671,12.9336,1.5568,32.6880,3.5312,1.5691
83.0000,2.0000,41.6144,12.7544,1.5049,33.6105,3.5300,1.6116
84.0000,2.0000,41.3025,12.7591,1.4559,34.4502,3.5292,1.6507
85.0000,2.0000,39.4756,12.0163,1.4145,34.9463,3.5299,1.6755
86.0000,2.0000,37.2313,11.4016,1.3812,35.3058,3.5314,1.6951
87.0000,2.0000,36.5582,11.6159,1.3506,35.9251,3.5323,1.7262
88.0000,2.0000,40.3229,12.4215,1.3122,37.3886,3.5301,1.7930
89.0000,2.0000,44.2665,13.8974,1.2641,38.9484,3.5271,1.8627
90.0000,2.0000,47.2549,14.6183,1.2104,40.3678,3.5242,1.9257
91.0000,2.0000,52.3010,16.4618,1.1441,42.2407,3.5190,2.0057
92.0000,2.0000,57.5994,17.6472,1.0665,44.2285,3.5128,2.0882
93.0000,2.0000,54.2577,16.8732,1.0000,44.5206,3.5138,2.1040
94.0000,1.0000,44.7325,13.5796,1.0443,76.0282,3.8162,4.5754
95.0000,1.0000,30.5191,9.3881,1.1294,73.9600,3.8438,4.5382
96.0000,1.0000,21.0904,6.8008,1.2413,72.6346,3.8673,4.5299
97.0000,1.0000,17.1021,5.6365,1.3648,72.1560,3.8856,4.5566
98.0000,1.0000,15.2317,5.0065,1.4942,71.9971,3.9022,4.5974
99.0000,1.0000,13.7693,4.2691,1.6288,71.8883,3.9186,4.6410
100.0000,1.0000,17.6196,5.5841,1.7525,72.6468,3.9289,4.7218
101.0000,1.0000,30.0420,9.4649,1.8409,74.8914,3.9276,4.8636
102.0000,1.0000,46.2246,14.0494,1.8851,77.9466,3.9183,5.0310
103.0000,2.0000,57.7150,17.2050,1.7788,32.3827,3.5309,1.5540
104.0000,2.0000,54.9677,16.9187,1.6820,33.1877,3.5278,1.5882
105.0000,2.0000,46.2010,14.5474,1.6116,32.5774,3.5302,1.5624
106.0000,2.0000,41.6671,12.9336,1.5568,32.6880,3.5312,1.5691
107.0000,2.0000,41.6144,12.7544,1.5049,33.6105,3.5300,1.6116
108.0000,2.0000,41.3025,12.7591,1.4559,34.4502,3.5292,1.6507
109.0000,2.0000,39.4756,12.0163,1.4145,34.9463,3.5299,1.6755
110.0000,2.0000,37.2313,11.4016,1.3812,35.3058,3.5314,1.6951
111.0000,2.0000,36.5582,11.6159,1.3506,35.9251,3.5323,1.7262
112.0000,2.0000,40.3229,12.4215,1.3122,37.3886,3.5301,1.7930
113.0000,2.0000,44.2665,13.8974,1.2641,38.9484,3.5271,1.8627
114.0000,2.0000,47.2549,14.6183,1.2104,40.3678,3.5242,1.9257
115.0000,2.0000,52.3010,16.4618,1.1441,42.2407,3.5190,2.0057
116.0000,2.0000,57.5994,17.6472,1.0665,44.2285,3.5128,2.0882
117.0000,2.0000,54.2577,16.8732,1.0000,44.5206,3.5138,2.1040
118.0000,1.0000,44.7325,13.5796,1.0443,76.0282,3.8162,4.5754
119.0000,1.0000,30.5191,9.3881,1.1294,73.9600,3.8438,4.5382
120.0000,1.0000,21.0904,6.8008,1.2413,72.6346,3.8673,4.5299
121.0000,1.0000,17.1021,5.6365,1.3648,72.1560,3.8856,4.5566
122.0000,1.0000,15.2317,5.0065,1.4942,71.9971,3.9022,4.5974
123.0000,1.0000,13.7693,4.2691,1.6288,71.8883,3.9186,4.6410
124.0000,1.0000,17.6196,5.5841,1.7525,72.6468,3.9289,4.7218
125.0000,1.0000,30.0420,9.4649,1.8409,74.8914,3.9276,4.8636
126.0000,1.0000,46.2246,14.0494,1.8851,77.9466,3.9183,5.0310
127.0000,2.0000,57.7150,17.2050,1.7788,32.3827,3.5309,1.5540
128.0000,2.0000,54.9677,16.9187,1.6820,33.1877,3.5278,1.5882
129.0000,2.0000,46.2010,14.5474,1.6116,32.5774,3.5302,1.5624
130.0000,2.0000,41.6671,12.9336,1.5568,32.6880,3.5312,1.5691
131.0000,2.0000,41.6144,12.7544,1.5049,33.6105,3.5300,1.6116
132.0000,2.0000,41.3025,12.7591,1.4559,34.4502,3.5292,1.6507
133.0000,2.0000,39.4756,12.0163,1.4145,34.9463,3.5299,1.6755
134.0000,2.0000,37.2313,11.4016,1.3812,35.3058,3.5314,1.6951
135.0000,2.0000,36.5582,11.6159,1.3506,35.9251,3.5323,1.7262
136.0000,2.0000,40.3229,12.4215,1.3122,37.3886,3.5301,1.7930
137.0000,2.0000,44.2665,13.8974,1.2641,38.9484,3.5271,1.8627
138.0000,2.0000,47.2549,14.6183,1.2104,40.3678,3.5242,1.9257
139.0000,2.0000,52.3010,16.4618,1.1441,42.2407,3.5190,2.0057
140.0000,2.0000,57.5994,17.6472,1.0665,44.2285,3.5128,2.0882
141.0000,2.0000,54.2577,16.8732,1.0000,44.5206,3.5138,2.1040
142.0000,1.0000,44.7325,13.5796,1.0443,76.0282,3.8162,4.5754
143.0000,1.0000,30.5191,9.3881,1.1294,73.9600,3.8438,4.5382
144.0000,1.0000,21.0904,6.8008,1.2413,72.6346,3.8673,4.5299
145.0000,1.0000,17.1021,5.6365,1.3648,72.1560,3.8856,4.5566
146.0000,1.0000,15.2317,5.0065,1.4942,71.9971,3.9022,4.5974
147.0000,1.0000,13.7693,4.2691,1.6288,71.8883,3.9186,4.6410
148.0000,1.0000,17.6196,5.5841,1.7525,72.6468,3.9289,4.7218
149.0000,1.0000,30.0420,9.4649,1.8409,74.8914,3.9276,4.8636
150.0000,1.0000,46.2246,14.0494,1.8851,77.9466,3.9183,5.0310
151.0000,2.0000,57.7150,17.2050,1.7788,32.3827,3.5309,1.5540
152.0000,2.0000,54.9677,16.9187,1.6820,33.1877,3.5278,1.5882
153.0000,2.0000,46.2010,14.5474,1.6116,32.5774,3.5302,1.5624
154.0000,2.0000,41.6671,12.9336,1.5568,32.6880,3.5312,1.5691
155.0000,2.0000,41.6144,12.7544,1.5049,33.6105,3.5300,1.6116
156.0000,2.0000,41.3025,12.7591,1.4559,34.4502,3.5292,1.6507
157.0000,2.0000,39.4756,12.0163,1.4145,34.9463,3.5299,1.6755
158.0000,2.0000,37.2313,11.4016,1.3812,35.3058,3.5314,1.6951
159.0000,2.0000,36.5582,11.6159,1.3506,35.9251,3.5323,1.7262
160.0000,2.0000,40.3229,12.4215,1.3122,37.3886,3.5301,1.7930
161.0000,2.0000,44.2665,13.8974,1.2641,38.9484,3.5271,1.8627
162.0000,2.0000,47.2549,14.6183,1.2104,40.3678,3.5242,1.9257
163.0000,2.0000,52.3010,16.4618,1.1441,42.2407,3.5190,2.0057
164.0000,2.0000,57.5994,17.6472,1.0665,44.2285,3.5128,2.0882
165.0000,2.0000,54.2577,16.8732,1.0000,44.5206,3.5138,2.1040
166.0000,1.0000,44.7325,13.5796,1.0443,76.0282,3.8162,4.5754
167.0000,1.0000,30.5191,9.3881,1.1294,73.9600,3.8438,4.5382
168.0000,1.0000,21.0904,6.8008,1.2413,72.6346,3.8673,4.5299
169.0000,1.0000,17.1021,5.6365,1.3648,72.1560,3.8856,4.5566
170.0000,1.0000,15.2317,5.0065,1.4942,71.9971,3.9022,4.5974
171.0000,1.0000,13.7693,4.2691,1.6288,71.8883,3.9186,4.6410
172.0000,1.0000,17.6196,5.5841,1.7525,72.6468,3.9289,4.7218
173.0000,1.0000,30.0420,9.4649,1.8409,74.8914,3.9276,4.8636
174.0000,1.0000,46.2246,14.0494,1.8851,77.9466,3.9183,5.0310
175.0000,2.0000,57.7150,17.2050,1.7788,32.3827,3.5309,1.5540
176.0000,2.0000,54.9677,16.9187,1.6820,33.1877,3.5278,1.5882
177.0000,2.0000,46.2010,14.5474,1.6116,32.5774,3.5302,1.5624
178.0000,2.0000,41.6671,12.9336,1.5568,32.6880,3.5312,1.5691
179.0000,2.0000,41.6144,12.7544,1.5049,33.6105,3.5300,1.6116
180.0000,2.0000,41.3025,12.7591,1.4559,34.4502,3.5292,1.6507
181.0000,2.0000,39.4756,12.0163,1.4145,34.9463,3.5299,1.6755
182.0000,2.0000,37.2313,11.4016,1.3812,35.3058,3.5314,1.6951
183.0000,2.0000,36.5582,11.6159,1.3506,35.9251,3.5323,1.7262
184.0000,2.0000,40.3229,12.4215,1.3122,37.3886,3.5301,1.7930
185.0000,2.0000,44.2665,13.8974,1.2641,38.9484,3.5271,1.8627
186.0000,2.0000,47.2549,14.6183,1.2104,40.3678,3.5242,1.9257
187.0000,2.0000,52.3010,16.4618,1.1441,42.2407,3.5190,2.0057
188.0000,2.0000,57.5994,17.6472,1.0665,44.2285,3.5128,2.0882
189.0000,2.0000,54.2577,16.8732,1.0000,44.5206,3.5138,2.1040
190.0000,1.0000,44.7325,13.5796,1.0443,76.0282,3.8162,4.5754
191.0000,1.0000,30.5191,9.3881,1.1294,73.9600,3.8438,4.5382
192.0000,1.0000,21.0904,6.8008,1.2413,72.6346,3.8673,4.5299
193.0000,1.0000,17.1021,5.6365,1.3648,72.1560,3.8856,4.5566
194.0000,1.0000,15.2317,5.0065,1.4942,71.9971,3.9022,4.5974
195.0000,1.0000,13.7693,4.2691,1.6288,71.8883,3.9186,4.6410
196.0000,1.0000,17.6196,5.5841,1.7525,72.6468,3.9289,4.7218
197.0000,1.0000,30.0420,9.4649,1.8409,74.8914,3.9276,4.8636
198.0000,1.0000,46.2246,14.0494,1.8851,77.9466,3.9183,5.0310
199.0000,2.0000,57.7150,17.2050,1.7788,32.3827,3.5309,1.5540
200.0000,2.0000,54.9677,16.9187,1.6820,33.1877,3.5278,1.5882
201.0000,2.0000,46.2010,14.5474,1.6116,32.5774,3.5302,1.5624
202.0000,2.0000,41.6671,12.9336,1.5568,32.6880,3.5312,1.5691
203.0000,2.0000,41.6144,12.7544,1.5049,33.6105,3.5300,1.6116
204.0000,2.0000,41.3025,12.7591,1.4559,34.4502,3.5292,1.6507
205.0000,2.0000,39.4756,12.0163,1.4145,34.9463,3.5299,1.6755
206.0000,2.0000,37.2313,11.4016,1.3812,35.3058,3.5314,1.6951
207.0000,2.0000,36.5582,11.6159,1.3506,35.9251,3.5323,1.7262
208.0000,2.0000,40.3229,12.4215,1.3122,37.3886,3.5301,1.7930
