t_h,price,water_demand1_forecast,water_demand2_forecast,water_demand1_realized_s1,water_demand2_realized_s1,water_level_s1,pump_flow_s1,supply_pressure_s1,pump_power_s1,water_demand1_realized_s2,water_demand2_realized_s2,water_level_s2,pump_flow_s2,supply_pressure_s2,pump_power_s2,water_demand1_realized_s3,water_demand2_realized_s3,water_level_s3,pump_flow_s3,supply_pressure_s3,pump_power_s3
0.0000,1.0000,21.0904,6.8008,21.6282,6.7293,1.1584,74.2267,3.8768,4.6594,21.3846,7.0111,1.1583,74.2267,3.8775,4.6617,24.2663,6.5742,1.1522,74.2267,3.8682,4.6320
1.0000,1.0000,17.1021,5.6365,18.1388,5.7037,1.2832,73.7638,3.8941,4.6849,16.4425,5.6661,1.2874,73.7654,3.8997,4.7025,13.8772,6.2152,1.2866,73.8638,3.9086,4.7368
2.0000,1.0000,15.2317,5.0065,15.6031,4.5331,1.4169,73.6483,3.9137,4.7392,14.7675,5.0536,1.4218,73.5773,3.9158,4.7413,15.7016,5.0679,1.4186,73.5911,3.9128,4.7329
3.0000,1.0000,13.7693,4.2691,12.4453,4.7246,1.5579,73.5324,3.9358,4.8013,11.2889,4.4808,1.5660,73.4478,3.9390,4.8059,13.1924,4.0151,1.5594,73.5029,3.9334,4.7916
4.0000,1.0000,17.6196,5.5841,18.7966,5.3860,1.6830,74.2475,3.9381,4.8553,19.9593,5.3059,1.6881,74.0999,3.9333,4.8302,17.0312,5.3250,1.6890,74.2199,3.9437,4.8712
5.0000,1.0000,30.0420,9.4649,31.0314,8.6068,1.7752,76.5309,3.9380,5.0042,32.5782,8.7763,1.7758,76.4349,3.9320,4.9784,29.5641,9.4328,1.7826,76.4169,3.9419,5.0095
6.0000,1.0000,46.2246,14.0494,44.3933,14.5613,1.8268,79.5796,3.9382,5.2043,45.1147,12.5799,1.8305,79.5690,3.9361,5.1964,39.3353,15.9485,1.8430,79.4348,3.9545,5.2499
7.0000,2.0000,57.7150,17.2050,60.1896,16.8456,1.7213,34.8319,3.5305,1.6710,61.0101,16.8655,1.7226,34.7144,3.5291,1.6632,56.7273,17.0244,1.7444,34.3120,3.5358,1.6537
8.0000,2.0000,54.9677,16.9187,56.4462,17.2424,1.6263,35.7055,3.5298,1.7118,56.1082,17.6760,1.6273,35.6631,3.5303,1.7104,51.4586,17.0457,1.6604,34.9317,3.5373,1.6859
9.0000,2.0000,46.2010,14.5474,47.2036,14.2565,1.5607,35.1910,3.5345,1.6942,44.3131,14.4195,1.5683,35.1583,3.5393,1.6998,57.5286,14.9878,1.5641,33.9719,3.5154,1.6077
10.0000,2.0000,41.6671,12.9336,41.7545,12.8881,1.5123,35.2980,3.5380,1.7046,44.6725,13.4219,1.5106,35.0062,3.5323,1.6820,42.3613,12.9031,1.5138,35.1685,3.5367,1.6964
11.0000,2.0000,41.6144,12.7544,43.2930,12.9390,1.4621,36.1447,3.5346,1.7403,40.6608,11.8674,1.4698,36.2142,3.5396,1.7514,40.5316,14.4672,1.4665,36.0824,3.5389,1.7438
12.0000,2.0000,41.3025,12.7591,39.0582,12.1982,1.4267,37.1185,3.5421,1.7991,40.3005,12.4067,1.4300,36.7757,3.5389,1.7774,40.4453,12.3598,1.4268,36.9213,3.5391,1.7847
13.0000,2.0000,39.4756,12.0163,39.0011,12.4965,1.3910,37.2082,3.5391,1.7986,37.1684,11.4743,1.4010,37.0497,3.5421,1.7957,37.5298,12.5428,1.3947,37.2041,3.5417,1.8025
14.0000,2.0000,37.2313,11.4016,35.9069,11.0862,1.3673,37.5194,3.5431,1.8200,38.4811,10.5636,1.3708,36.9750,3.5367,1.7836,34.3328,11.5094,1.3734,37.3213,3.5450,1.8136
15.0000,2.0000,36.5582,11.6159,38.1735,11.0211,1.3389,37.8372,3.5384,1.8279,36.2907,12.8877,1.3419,37.6208,3.5405,1.8208,35.5041,12.0408,1.3482,37.4649,3.5415,1.8148
