t_h,price,dbar_nom,dn1_nom,dbar,dn1,level,d1,pressure_p1_bar,power_kw
0.0000,1.0000,21.090,6.801,21.629,7.067,1.1569,73.964,3.8734,4.632
1.0000,1.0000,17.102,5.636,15.612,4.899,1.2894,73.514,3.8992,4.685
2.0000,1.0000,15.232,5.006,14.054,4.424,1.4263,73.260,3.9144,4.717
3.0000,1.0000,13.769,4.269,6.809,0.827,1.5899,73.073,3.9501,4.816
4.0000,1.0000,17.620,5.584,22.749,8.121,1.6962,73.366,3.9167,4.730
5.0000,1.0000,30.042,9.465,33.305,11.078,1.7751,75.966,3.9240,4.922
6.0000,1.0000,46.225,14.049,45.297,13.591,1.8260,79.253,3.9312,5.159
7.0000,2.0000,57.715,17.205,59.921,18.296,1.7162,34.305,3.5285,1.643
8.0000,2.0000,54.968,16.919,55.770,17.315,1.6218,35.302,3.5287,1.691
9.0000,2.0000,46.201,14.547,44.622,13.767,1.5627,34.742,3.5364,1.675
10.0000,2.0000,41.667,12.934,44.454,14.312,1.5022,34.567,3.5299,1.657
11.0000,2.0000,41.614,12.754,40.729,12.317,1.4592,35.859,3.5368,1.730
12.0000,2.0000,41.303,12.759,40.365,12.295,1.4188,36.488,3.5363,1.759
13.0000,2.0000,39.476,12.016,37.217,10.899,1.3904,36.764,3.5395,1.778
14.0000,2.0000,37.231,11.402,38.528,12.043,1.3555,36.623,3.5334,1.761
15.0000,2.0000,36.558,11.616,36.276,11.476,1.3299,37.513,3.5387,1.813
16.0000,2.0000,40.323,12.421,41.877,13.190,1.2894,38.861,3.5329,1.868
17.0000,2.0000,44.267,13.897,42.536,13.041,1.2526,40.872,3.5390,1.976
18.0000,2.0000,47.255,14.618,47.616,14.797,1.2005,41.566,3.5291,1.991
19.0000,2.0000,52.301,16.462,49.757,15.204,1.1471,43.590,3.5313,2.093
20.0000,2.0000,57.599,17.647,59.998,18.833,1.0591,43.616,3.5044,2.044
21.0000,2.0000,54.258,16.873,54.794,17.139,1.0000,47.506,3.5306,2.279
22.0000,1.0000,44.733,13.580,45.675,14.046,1.0409,76.063,3.8133,4.568
23.0000,1.0000,30.519,9.388,31.689,9.967,1.1218,74.042,3.8405,4.533
24.0000,1.0000,21.090,6.801,18.209,5.376,1.2448,72.781,3.8780,4.572
25.0000,1.0000,17.102,5.636,19.334,6.740,1.3600,72.135,3.8783,4.533
26.0000,1.0000,15.232,5.006,21.095,7.906,1.4677,72.109,3.8836,4.547
27.0000,1.0000,13.769,4.269,9.099,1.959,1.6210,72.368,3.9375,4.730
28.0000,1.0000,17.620,5.584,12.689,3.146,1.7635,72.821,3.9468,4.789
29.0000,1.0000,30.042,9.465,25.751,7.343,1.8676,74.736,3.9414,4.898
30.0000,1.0000,46.225,14.049,48.623,15.235,1.9017,77.500,3.9070,4.965
31.0000,2.0000,57.715,17.205,58.082,17.387,1.7926,31.825,3.5300,1.526
32.0000,2.0000,54.968,16.919,58.042,18.439,1.6831,32.707,3.5220,1.557
33.0000,2.0000,46.201,14.547,48.261,15.566,1.6049,32.529,3.5266,1.555
34.0000,2.0000,41.667,12.934,42.268,13.231,1.5485,32.940,3.5306,1.580
35.0000,2.0000,41.614,12.754,42.424,13.155,1.4944,33.949,3.5293,1.627
36.0000,2.0000,41.303,12.759,40.819,12.520,1.4484,34.915,3.5312,1.676
37.0000,2.0000,39.476,12.016,41.951,13.241,1.3987,35.311,3.5264,1.688
38.0000,2.0000,37.231,11.402,34.011,9.809,1.3795,36.170,3.5402,1.750
39.0000,2.0000,36.558,11.616,35.355,11.021,1.3536,36.022,3.5349,1.735
40.0000,2.0000,40.323,12.421,41.015,12.764,1.3121,37.162,3.5279,1.779
41.0000,2.0000,44.267,13.897,49.402,16.437,1.2449,38.951,3.5170,1.846
42.0000,2.0000,47.255,14.618,45.076,13.541,1.2043,42.376,3.5383,2.047
43.0000,2.0000,52.301,16.462,49.224,14.940,1.1516,43.075,3.5298,2.065
44.0000,2.0000,57.599,17.647,55.993,16.853,1.0762,42.714,3.5084,2.009
45.0000,2.0000,54.258,16.873,57.021,18.240,1.0000,40.640,3.4884,1.876
46.0000,1.0000,44.733,13.580,44.063,13.248,1.0469,76.063,3.8189,4.586
47.0000,1.0000,30.519,9.388,34.294,11.255,1.1179,73.956,3.8312,4.498
48.0000,1.0000,21.090,6.801,15.753,4.161,1.2502,72.839,3.8865,4.603
49.0000,1.0000,17.102,5.636,20.319,7.227,1.3615,72.052,3.8746,4.516
50.0000,1.0000,15.232,5.006,18.182,6.466,1.4801,72.085,3.8931,4.575
51.0000,1.0000,13.769,4.269,9.725,2.269,1.6305,72.160,3.9340,4.706
52.0000,1.0000,17.620,5.584,18.057,5.800,1.7525,72.657,3.9277,4.719
53.0000,1.0000,30.042,9.465,33.508,11.179,1.8281,74.933,3.9162,4.830
54.0000,1.0000,46.225,14.049,46.476,14.174,1.8721,78.235,3.9196,5.054
55.0000,2.0000,57.715,17.205,60.565,18.615,1.7561,32.805,3.5263,1.568
56.0000,2.0000,54.968,16.919,61.738,20.267,1.6360,33.954,3.5166,1.609
57.0000,2.0000,46.201,14.547,46.983,14.934,1.5668,34.234,3.5313,1.643
58.0000,2.0000,41.667,12.934,40.868,12.538,1.5193,34.410,3.5359,1.659
59.0000,2.0000,41.614,12.754,39.416,11.667,1.4795,35.156,3.5374,1.697
60.0000,2.0000,41.303,12.759,43.150,13.673,1.4264,35.585,3.5287,1.704
61.0000,2.0000,39.476,12.016,38.915,11.739,1.3907,36.391,3.5352,1.753
62.0000,2.0000,37.231,11.402,36.722,11.150,1.3626,36.604,3.5367,1.766
63.0000,2.0000,36.558,11.616,36.258,11.467,1.3359,37.077,3.5371,1.789
64.0000,2.0000,40.323,12.421,42.176,13.338,1.2932,38.431,3.5306,1.844
65.0000,2.0000,44.267,13.897,41.227,12.394,1.2606,40.549,3.5402,1.962
66.0000,2.0000,47.255,14.618,42.893,12.461,1.2240,40.740,3.5348,1.962
67.0000,2.0000,52.301,16.462,45.362,13.030,1.1789,40.363,3.5242,1.925
68.0000,2.0000,57.599,17.647,61.016,19.337,1.0710,37.158,3.4734,1.692
69.0000,2.0000,54.258,16.873,54.469,16.978,1.0000,42.747,3.5036,2.002
70.0000,1.0000,44.733,13.580,49.038,15.709,1.0283,76.063,3.8016,4.530
71.0000,1.0000,30.519,9.388,30.494,9.376,1.1142,74.223,3.8455,4.560
72.0000,1.0000,21.090,6.801,18.975,5.754,1.2346,72.895,3.8761,4.573
73.0000,1.0000,17.102,5.636,18.464,6.310,1.3534,72.293,3.8821,4.554
74.0000,1.0000,15.232,5.006,15.014,4.899,1.4841,72.215,3.9044,4.618
75.0000,1.0000,13.769,4.269,10.194,2.501,1.6326,72.092,3.9320,4.695
76.0000,1.0000,17.620,5.584,15.096,4.336,1.7656,72.619,3.9373,4.746
77.0000,1.0000,30.042,9.465,35.078,11.956,1.8348,74.698,3.9092,4.793
78.0000,1.0000,46.225,14.049,47.236,14.549,1.8756,78.110,3.9161,5.034
79.0000,2.0000,57.715,17.205,58.902,17.792,1.7656,32.690,3.5291,1.566
80.0000,2.0000,54.968,16.919,54.179,16.529,1.6729,33.633,3.5296,1.612
81.0000,2.0000,46.201,14.547,44.235,13.575,1.6106,32.902,3.5340,1.583
82.0000,2.0000,41.667,12.934,44.209,14.191,1.5464,32.718,3.5269,1.565
83.0000,2.0000,41.614,12.754,41.316,12.607,1.4967,34.036,3.5314,1.634
84.0000,2.0000,41.303,12.759,39.138,11.689,1.4566,34.814,3.5339,1.675
85.0000,2.0000,39.476,12.016,39.093,11.827,1.4166,34.902,3.5304,1.674
86.0000,2.0000,37.231,11.402,34.650,10.125,1.3926,35.184,3.5357,1.696
87.0000,2.0000,36.558,11.616,37.100,11.884,1.3582,35.205,3.5288,1.686
88.0000,2.0000,40.323,12.421,43.542,14.014,1.3064,36.836,3.5220,1.754
89.0000,2.0000,44.267,13.897,41.883,12.719,1.2685,39.436,3.5339,1.897
90.0000,2.0000,47.255,14.618,51.327,16.632,1.1983,39.911,3.5140,1.886
91.0000,2.0000,52.301,16.462,50.398,15.521,1.1433,43.889,3.5315,2.107
92.0000,2.0000,57.599,17.647,58.036,17.863,1.0645,44.390,3.5127,2.096
93.0000,2.0000,54.258,16.873,51.873,15.694,1.0089,45.332,3.5238,2.162
94.0000,1.0000,44.733,13.580,44.099,13.266,1.0553,75.939,3.8182,4.577
95.0000,1.0000,30.519,9.388,30.654,9.455,1.1397,73.835,3.8429,4.528
96.0000,1.0000,21.090,6.801,19.851,6.188,1.2559,72.516,3.8710,4.534
97.0000,1.0000,17.102,5.636,15.098,4.645,1.3864,71.966,3.8914,4.562
98.0000,1.0000,15.232,5.006,13.299,4.051,1.5223,71.688,3.9069,4.592
99.0000,1.0000,13.769,4.269,11.428,3.111,1.6646,71.461,3.9238,4.629
100.0000,1.0000,17.620,5.584,13.143,3.370,1.8035,72.073,3.9402,4.719
101.0000,1.0000,30.042,9.465,29.292,9.094,1.8926,74.031,3.9246,4.798
102.0000,1.0000,46.225,14.049,47.368,14.615,1.9302,77.046,3.9085,4.941
103.0000,2.0000,57.715,17.205,60.305,18.486,1.8104,30.868,3.5259,1.475
104.0000,2.0000,54.968,16.919,56.813,17.831,1.7040,32.089,3.5236,1.530
105.0000,2.0000,46.201,14.547,53.207,18.012,1.6054,31.764,3.5174,1.506
106.0000,2.0000,41.667,12.934,42.577,13.383,1.5478,32.921,3.5300,1.579
107.0000,2.0000,41.614,12.754,40.314,12.111,1.5017,33.978,3.5330,1.634
108.0000,2.0000,41.303,12.759,46.638,15.398,1.4331,34.589,3.5200,1.644
109.0000,2.0000,39.476,12.016,36.491,10.540,1.4056,36.064,3.5386,1.743
110.0000,2.0000,37.231,11.402,39.992,12.767,1.3632,35.787,3.5279,1.713
